Estado,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau.lock1,lock_2,tau.lock2,lock_3,tau.lock3,lock_4,tau.lock4,lock_5,tau.lock5,lock_6,tau.lock6,IFR,X20200225,X20200226,X20200227,X20200228,X20200229,X20200301,X20200302,X20200303,X20200304,X20200305,X20200306,X20200307,X20200308,X20200309,X20200310,X20200311,X20200312,X20200313,X20200314,X20200315,X20200316,X20200317,X20200318,X20200319,X20200320,X20200321,X20200322,X20200323,X20200324,X20200325,X20200326,X20200327,X20200328,X20200329,X20200330,X20200331,X20200401,X20200402,X20200403,X20200404,X20200405,X20200406,X20200407,X20200408,X20200409,X20200410,X20200411,X20200412,X20200413,X20200414,X20200415,X20200416,X20200417,X20200418,X20200419,X20200420,X20200421,X20200422,X20200423,X20200424,X20200425,X20200426,X20200427,X20200428,X20200429,X20200430,X20200501,X20200502,X20200503,X20200504,X20200505,X20200506,X20200507,X20200508,X20200509,X20200510,X20200511,X20200512,X20200513,X20200514,X20200515,X20200516,X20200517,X20200518,X20200519
BAHIA,29,14637286,1491,25/02/2020,,,,,,,,,,,,,0.011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,2,1,4,13,4,3,7,14,8,16,12,17,15,4,29,20,41,29,21,23,46,65,36,25,53,53,48,24,34,49,53,108,83,97,136,49,128,127,141,200,134,137,132,108,208,112,191,273,175,251,168,306,261,227,291,356,384,249,397,344,407,1174,186,128,138,2431
MINAS GERAIS,31,21168791,2209,25/02/2020,15/03/2020,0.15,20/03/2020,0.33,,,,,,,,,0.010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,8,5,10,9,16,29,45,2,3,20,36,16,26,30,14,39,56,27,33,68,27,34,55,41,43,52,56,9,69,19,55,63,56,77,35,41,53,25,111,62,67,38,63,109,69,108,88,95,229,105,153,165,173,180,114,83,115,298,217,246,278,137,84,282
ESPIRITO SANTO,32,4018650,442,25/02/2020,,,,,,,18/03/2020,0.15,,,,,0.009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,3,10,0,7,7,0,8,6,7,11,13,12,23,19,14,13,28,15,18,46,27,49,34,47,33,94,177,201,17,147,96,17,101,38,102,212,46,108,125,220,374,150,225,191,104,143,189,174,274,254,170,187,220,268,314,412,385,397,149,413,536
RIO DE JANEIRO,33,17264943,3081,25/02/2020,13/03/2020,0.15,,,27/03/2020,0.53,27/03/2020,0.15,,,,,0.008,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,5,3,0,6,2,7,2,30,3,43,10,67,47,72,65,51,72,65,42,57,51,124,160,82,172,148,67,227,250,278,248,143,248,376,179,333,201,405,194,222,134,407,246,620,110,546,283,833,560,365,584,713,380,593,582,670,904,861,1585,1188,133,877,547,242,739,520,1614,637,4427,1140
SAO PAULO,35,45919049,6076,25/02/2020,,,,,22/03/2020,0.53,,,,,,,0.007,1,0,0,1,0,0,0,0,1,3,4,3,3,0,3,11,16,10,9,71,16,12,77,45,110,63,172,114,65,52,191,170,183,45,66,822,642,525,542,418,154,246,816,1026,772,736,203,336,140,476,1672,525,1273,1053,373,313,805,529,826,1086,2178,711,981,2345,2117,2540,1676,800,598,415,1866,3800,2075,1902,2581,1033,687,1588,3378,3189,4092,2805,1162,721,2929
PARANA,41,11423818,1475,25/02/2020,,,,,,,,,,,,,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,9,13,7,10,6,10,27,9,19,12,15,8,25,44,29,49,94,44,21,45,39,71,34,33,62,18,35,13,29,42,73,42,20,17,38,19,37,22,16,30,85,78,59,41,46,23,48,27,39,31,56,75,50,14,57,93,68,76,105,44,74,129
SANTA CATARINA,42,7164788,562,25/02/2020,19/03/2020,0.15,,,19/03/2020,0.53,19/03/2020,0.15,,,,,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,7,7,18,18,11,18,23,13,27,14,21,13,22,16,12,34,20,55,23,38,40,44,192,24,15,44,50,27,31,42,36,13,50,38,28,24,55,39,26,102,139,519,90,309,-290,242,173,104,172,122,165,123,167,57,100,204,95,504,230,116,98,399,238
RIO GRANDE DO SUL,43,11377239,1058,25/02/2020,19/03/2020,0.15,19/03/2020,0.33,19/03/2020,0.53,13/03/2020,0.15,,,,,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,2,9,12,12,26,8,19,16,50,28,7,3,30,24,51,11,70,24,8,50,33,54,26,55,4,13,11,21,35,42,30,39,23,15,35,14,52,69,57,70,42,48,94,70,109,90,47,24,78,251,81,82,311,49,34,232,109,80,104,594,39,1,15,48
MATO GROSSO DO SUL,50,2778986,234,25/02/2020,,,,,,,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,3,4,5,0,3,0,1,3,3,5,8,4,3,2,7,2,3,1,14,5,4,8,3,1,12,2,6,10,12,18,7,3,2,2,11,27,4,17,4,2,9,6,6,5,6,2,9,5,23,15,20,16,23,20,25,22,27,29,62,43,29
MATO GROSSO,51,3474799,511,25/02/2020,,,,,19/03/2020,0.53,18/03/2020,0.15,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,2,2,0,2,3,2,7,3,13,3,16,0,16,2,12,18,4,9,2,11,4,13,5,6,9,3,7,0,24,16,20,6,3,7,6,29,10,18,13,4,7,22,19,34,45,38,17,26,59,69,61,58,65,44,40,54
GOIAS,52,7018354,1059,25/02/2020,20/03/2020,0.15,20/03/2020,0.33,20/03/2020,0.53,13/03/2020,0.15,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,1,2,3,3,2,1,2,6,6,4,10,7,2,3,4,8,0,15,15,12,4,14,26,20,12,18,20,4,51,20,14,17,43,15,10,18,17,15,33,20,67,43,45,44,76,27,17,25,11,61,102,3,26,16,24,7,15,110,235,145,47,40,89,99
DISTRITO FEDERAL,53,3015268,540,25/02/2020,14/03/2020,0.15,23/03/2020,0.33,23/03/2020,0.53,,,,,,,0.009625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,6,5,3,12,8,45,21,9,21,23,34,6,40,19,38,14,21,37,30,19,37,12,17,18,6,18,29,36,26,23,10,37,39,29,40,64,15,38,46,9,44,8,105,64,41,83,110,123,59,115,73,44,209,212,184,134,106,117,180,213,224,371,353,228,251,234
